commit	Post_RL_total_reward	numerical_reward	format_reward	status(keep/discard)	description
6b61ed0	136.71875	49.21875	87.5	keep	baseline default parameters (RANK=64, ALPHA=64, LR=3e-6, AdamW warmup cosine)
43994df	136.71875	48.4375	88.28125	discard	LR=5e-6, BETA=0.05 - equal reward to baseline (lower accuracy, slightly higher format)
add5d0e	119.140625	26.171875	92.96875	discard	RANK=128, ALPHA=128 - rank too high, degraded numerical accuracy significantly
c08818a	139.453125	51.171875	88.28125	keep	RANK=16, ALPHA=32 - improved accuracy to 51.17% and total reward to 139.45
029cad4	140.625	50.390625	90.234375	keep	BETA=0.05 with RANK=16 - format accuracy reached 90.23%, total reward 140.625
42004c8	147.65625	54.296875	93.359375	keep	rollout TEMPERATURE=0.7 - accuracy jumped to 54.30%, format to 93.36%, total reward 147.66
20e1664	145.3125	58.203125	87.109375	discard	TEMP=0.6, TOP_P=0.95 - highest numerical accuracy (58.20%), but format dropped to 87.11%
418438a	143.75	52.34375	91.40625	discard	B2=0.999, WEIGHT_DECAY=0.01 - lower total reward (143.75) than Exp 5 (147.66)
2b8de7a	139.84375	47.265625	92.578125	discard	MAX_GRAD_NORM=0.3, EPSILON=0.15 - lower reward (139.84) than Exp 5 (147.66)
3cd61a1	139.0625	51.171875	87.890625	discard	TEMP=0.65 - lower total reward (139.06) than Exp 5 (147.66)
631ea57	OOM	N/A	N/A	discard	num_generations=4 - OOM (requested 27.78G, available 25.52G)
dae4acf	135.15625	46.484375	88.671875	discard	LR=2.5e-6, WARMUP=0.15*MAX_STEPS - lower reward (135.16) than Exp 5 (147.66)
c92e641	138.671875	48.4375	90.234375	discard	RANK=32, ALPHA=64 - lower total reward (138.67) than Exp 5 (147.66)
8bce049	143.359375	53.125	90.234375	discard	RANK=8, ALPHA=16 - lower total reward (143.36) than Exp 5 (147.66)
8fcf1f0	141.015625	56.640625	84.375	discard	Attention layers only - high accuracy (56.64%), but lower format accuracy (84.38%)
5e4d950	135.15625	46.09375	89.0625	discard	SEED=123 - lower reward (135.16) than SEED=42 (147.66)
d977b1d	146.09375	53.90625	92.1875	discard	LR=4e-6 - reward 146.09 slightly lower than Exp 5 (147.66)
3d11ede	139.84375	55.078125	84.765625	discard	ALPHA=16.0 - higher accuracy (55.08%), but lower format accuracy (84.77%)
307fcdd	135.15625	54.296875	80.859375	discard	BETA=0.04 - format accuracy dropped to 80.86%, total reward 135.16
db73834	136.71875	48.4375	88.28125	discard	ALPHA=48.0 - lower total reward (136.72) than Exp 5 (147.66)
8adb31e	136.328125	52.34375	83.984375	discard	TOP_K=30 - lower total reward (136.33) than Exp 5 (147.66)
5f970c2	138.28125	51.5625	86.71875	discard	BETA=0.06 - lower total reward (138.28) than Exp 5 (147.66)
89b52a5	142.1875	48.828125	93.359375	discard	LR=3.3e-6 - lower total reward (142.19) than Exp 5 (147.66)
cbb5552	141.40625	56.25	85.15625	discard	Linear LR schedule - accuracy 56.25%, but total reward 141.41 lower than Exp 5
1003030	141.796875	53.90625	87.890625	discard	WARMUP_STEPS=0.05*MAX_STEPS - lower total reward (141.80) than Exp 5
b3955e8	147.65625	54.296875	93.359375	discard	EPSILON=0.25 - equal total reward to 0.20 (147.66)
3533fb5	144.921875	57.421875	87.5	discard	B1=0.85 - high numerical accuracy (57.42%), but format accuracy dropped to 87.5%
6bdaa0a	147.65625	54.296875	93.359375	discard	EPSILON=0.18 - equal total reward to 0.20 (147.66)
1c1b1b2	140.625	52.734375	87.890625	discard	TOTAL_GENERATION_STEPS=896 - lower total reward (140.63) than 768 (147.66)
9d139cf	137.890625	49.609375	88.28125	discard	TEMPERATURE=0.75 - lower total reward (137.89) than 0.70 (147.66)
d6c5313	142.96875	52.34375	90.625	discard	MAX_GRAD_NORM=0.05 - lower total reward (142.97) than 0.10 (147.66)
5d8ff37	141.796875	57.421875	84.375	discard	TOP_P=0.95 - accuracy 57.42%, format dropped to 84.38% (reward 141.80)
7d9e681	144.140625	53.515625	90.625	discard	TEMPERATURE=0.68 - lower total reward (144.14) than 0.70 (147.66)
2043541	134.765625	48.046875	86.71875	discard	SEED=2026 - lower total reward (134.77) than SEED=42 (147.66)
58ba515	145.3125	55.078125	90.234375	discard	WEIGHT_DECAY=0.02 - lower total reward (145.31) than 0.10 (147.66)
c0b5ca3	143.75	56.640625	87.109375	discard	LR=3.6e-6 - numerical accuracy 56.64%, total reward 143.75 lower than 3.0e-6 (147.66)
11d8a04	145.3125	54.6875	90.625	discard	B2=0.98 - lower total reward (145.31) than 0.99 (147.66)
65eba2c	144.921875	53.90625	91.015625	discard	ALPHA=24.0 - lower total reward (144.92) than 32.0 (147.66)
db43e23	145.703125	52.34375	93.359375	discard	LR=2.8e-6 - lower total reward (145.70) than 3.0e-6 (147.66)
826d9aa	142.96875	55.078125	87.890625	discard	MLP layers only - lower total reward (142.97) than all linear projections (147.66)
2aa5eab	142.96875	53.515625	89.453125	discard	LR=3.1e-6 WARMUP=0.08 - lower total reward (142.97) than baseline 3e-6 0.1 (147.66)
7462a01	135.15625	50.390625	84.765625	discard	TOP_K=100 - lower total reward (135.16) than TOP_K=50 (147.66)
96e98ca	147.265625	55.46875	91.796875	discard	BETA=0.052 - high accuracy (55.47%), total reward 147.27 close to best (147.66)
139808a	138.28125	48.046875	90.234375	discard	BETA=0.051 - lower total reward (138.28) than 0.050 (147.66)
947751d	148.828125	52.734375	96.09375	keep	MAX_GRAD_NORM=0.15 - NEW BEST! format accuracy jumped to 96.09%, total reward 148.828125!
859add6	140.234375	48.046875	92.1875	discard	MAX_GRAD_NORM=0.18 - lower total reward (140.23) than 0.15 (148.83)
09d9347	139.84375	50.78125	89.0625	discard	MAX_GRAD_NORM=0.13 - lower total reward (139.84) than 0.15 (148.83)
704d799	142.578125	51.5625	91.015625	discard	TEMP=0.69 - lower total reward (142.58) than 0.70 (148.83)
04a1602	141.40625	51.5625	89.84375	discard	TEMP=0.71 - lower total reward (141.41) than 0.70 (148.83)
5c4cef0	145.703125	56.25	89.453125	discard	LR=3.2e-6 - accuracy 56.25%, total reward 145.70 lower than 3.0e-6 (148.83)
4417449	144.140625	53.90625	90.234375	discard	B1=0.88 - lower total reward (144.14) than B1=0.90 (148.83)
