commit	accuracy	status(keep/discard)	description
56c297c	86.58%	keep	baseline run with wandb fix
30e5749	88.35%	keep	add attn_vec_einsum to lora, rank=16, alpha=32
ee8c234	88.66%	keep	lr=2e-4 with 50-step warmup cosine decay
e8d02c5	88.55%	discard	lora_rank=32, lora_alpha=64
b077ed6	89.07%	keep	adamw b2=0.98, weight_decay=0.01
7dbe38e	88.76%	discard	lr=3e-4, 100-step warmup, weight_decay=0.02
fbef3a0	89.28%	keep	add optax.clip_by_global_norm(1.0)
0161834	88.55%	discard	lora_rank=24, lora_alpha=48
fa835ad	89.18%	discard	seed=42
5bb3d7e	89.39%	keep	lr=2.5e-4, clip_by_global_norm(0.5)
d26ddcc	88.76%	discard	lora_alpha=48
a53293c	89.49%	keep	batch_size=4, lr=1.8e-4, warmup_steps=100
b9cd211	90.32%	keep	lr=2e-4, warmup_steps=120, weight_decay=0.015
75bbe7f	90.32%	discard	warmup_steps=150, weight_decay=0.02
88d8f6e	90.01%	discard	cosine decay end_value=2e-5
e1b5a71	89.28%	discard	adamw b2=0.95
6c581b1	89.49%	discard	lr=2.1e-4
36428cf	89.39%	discard	weight_decay=0.012
c7f683f	89.49%	discard	use optax.nadamw
39ce791	90.01%	discard	clip_by_global_norm(0.3)
16dfcff	88.97%	discard	batch_size=2, lr=1.5e-4, warmup_steps=200
